H1 GROSS DOMESTIC PRODUCT AND INCOME
Title,Real GDP,Year-ended real GDP growth,Real non-farm GDP,Year-ended real non-farm GDP growth,Real farm GDP,Year-ended real GDP per capita growth,Real GDI,Year-ended real GDI growth,Nominal GDP,Year-ended nominal GDP growth,Terms of trade
Description,Gross domestic product (GDP); Chain volume,Gross domestic product (GDP); Chain volume; Year-ended change (in per cent),Gross domestic product (GDP); Non-farm; Chain volume,Gross domestic product (GDP); Non-farm; Chain volume; Year-ended change (in per cent),Gross domestic product (GDP); Farm; Chain volume,Gross domestic product (GDP) per capita; Chain volume; Year-ended change (in per cent),Gross domestic income (GDI); Chain volume,Gross domestic income (GDI); Chain volume; Year-ended change (in per cent),Gross domestic product (GDP); Current price,Gross domestic product (GDP); Current price; Year-ended change (in per cent),Goods & services terms of trade
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly
Type,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted
Units,$ million,Per cent,$ million,Per cent,$ million,Per cent,$ million,Per cent,$ million,Per cent,Index


Source,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS
Publication date,04-Jun-2026,04-Jun-2026,04-Jun-2026,04-Jun-2026,04-Jun-2026,04-Jun-2026,04-Jun-2026,04-Jun-2026,04-Jun-2026,04-Jun-2026,04-Jun-2026
Series ID,GGDPCVGDP,GGDPCVGDPY,GGDPCVGDPNF,GGDPCVGDPNFY,GGDPCVGDPF,GGDPCVGDPFY,GGDPCVRGDI,GGDPCVRGDIY,GGDPECCPGDP,GGDPECCPGDPY,GOPITT
30/09/1959,80842,,70717,,,,71065,,3978,,56.8
31/12/1959,81602,,71383,,,,71806,,4094,,55.8
31/03/1960,82016,,71736,,,,72856,,4173,,59.3
30/06/1960,84257,,74042,,,,74928,,4385,,59.8
30/09/1960,84438,4.4,75837,7.2,,,74400,4.7,4407,10.8,55.6
31/12/1960,84286,3.3,74904,4.9,,,74609,3.9,4435,8.3,58.4
31/03/1961,84539,3.1,75052,4.6,,,74345,2.0,4427,6.1,55.8
30/06/1961,83609,-0.8,74293,0.3,,,72826,-2.8,4329,-1.3,52.7
30/09/1961,83006,-1.7,73907,-2.5,,,72955,-1.9,4337,-1.6,55.7
31/12/1961,83959,-0.4,74655,-0.3,,,73684,-1.2,4374,-1.4,54.8
31/03/1962,86308,2.1,77094,2.7,,,76167,2.5,4505,1.8,56.7
30/06/1962,87969,5.2,78361,5.5,,,77622,6.6,4602,6.3,56.5
30/09/1962,88673,6.8,78916,6.8,,,78037,7.0,4659,7.4,55.6
31/12/1962,90263,7.5,80543,7.9,,,79372,7.7,4789,9.5,55.4
31/03/1963,92352,7.0,82882,7.5,,,81713,7.3,4933,9.5,58.2
30/06/1963,91159,3.6,81477,4.0,,,80874,4.2,4897,6.4,59.3
30/09/1963,94901,7.0,85041,7.8,,,84639,8.5,5158,10.7,61.5
31/12/1963,96925,7.4,87267,8.3,,,86805,9.4,5265,9.9,62.7
31/03/1964,96758,4.8,86849,4.8,,,87058,6.5,5327,8.0,64.9
30/06/1964,99153,8.8,89107,9.4,,,88768,9.8,5509,12.5,62.9
30/09/1964,99760,5.1,90659,6.6,,,89207,5.4,5593,8.4,62.3
31/12/1964,102593,5.8,93155,6.7,,,91517,5.4,5773,9.6,61.2
